time	reading
1405526176	49.992008
1405526177	49.99173
1405526178	49.991634
1405526179	49.991615
1405526180	49.991554
1405526181	49.991077
1405526182	49.990215
1405526183	49.989391
1405526184	49.988789
1405526185	49.988335
1405526186	49.987698
1405526187	49.986828
1405526188	49.985729
1405526189	49.984386
1405526190	49.983006
1405526191	49.981892
1405526192	49.980949
1405526193	49.980202
1405526194	49.979656
1405526195	49.979374
1405526196	49.979244
1405526197	49.979427
1405526198	49.979904
1405526199	49.980553
1405526200	49.981396
1405526201	49.982479
1405526202	49.983845
1405526203	49.98521
1405526204	49.986614
1405526205	49.987804
1405526206	49.988804
1405526207	49.989868
1405526208	49.991245
1405526209	49.992783
1405526210	49.994213
1405526211	49.995346
1405526212	49.996254
1405526213	49.997192
1405526214	49.998394
1405526215	49.999908
1405526217	50.000851
1405526218	50.001442
1405526219	50.001339
1405526220	50.000923
1405526221	50.000744
1405526222	50.000732
1405526223	50.000782
1405526224	50.000767
1405526225	50.000481
1405526226	50.000076
1405526227	49.999935
1405526228	50.000214
1405526229	50.000755
1405526230	50.001286
1405526231	50.001614
1405526232	50.001396
1405526233	50.001083
1405526234	50.001186
1405526235	50.001534
1405526236	50.002026
1405526237	50.002815
1405526238	50.003925
1405526239	50.005234
1405526240	50.006836
1405526241	50.008526
1405526242	50.009941
1405526243	50.011242
1405526244	50.012032
1405526245	50.012634
1405526246	50.013172
1405526247	50.013691
1405526248	50.014282
1405526249	50.014679
1405526250	50.014778
1405526251	50.014805
1405526252	50.014683
1405526253	50.01432
1405526254	50.013805
1405526255	50.013039
1405526256	50.012081
1405526257	50.011051
1405526258	50.01025
1405526259	50.009834
1405526260	50.009754
1405526261	50.009933
1405526262	50.010277
1405526263	50.010674
1405526264	50.011162
1405526265	50.011883
1405526266	50.012703
1405526267	50.013458
1405526268	50.013962
1405526269	50.014057
1405526270	50.014114
1405526271	50.014477
1405526272	50.015053
1405526273	50.015617
1405526274	50.015995
1405526275	50.01622
1405526277	50.016468
1405526278	50.016979
1405526279	50.017429
1405526280	50.017761
1405526281	50.018017
1405526282	50.018211
1405526283	50.018398
1405526284	50.018501
1405526285	50.018482
1405526286	50.018406
1405526287	50.018456
1405526288	50.018501
1405526289	50.01841
1405526290	50.018322
1405526291	50.01841
1405526292	50.018791
1405526293	50.019268
1405526294	50.019745
1405526295	50.020348
1405526296	50.020905
1405526297	50.02158
1405526298	50.022335
1405526299	50.022976
1405526300	50.02375
1405526301	50.024418
1405526302	50.024647
1405526303	50.024509
1405526304	50.024353
1405526305	50.024117
1405526306	50.023026
1405526307	50.02174
1405526308	50.020527
1405526309	50.019279
1405526310	50.017952
1405526311	50.016598
1405526312	50.015228
1405526313	50.013924
1405526314	50.012756
1405526315	50.011776
1405526316	50.011032
1405526317	50.010601
1405526318	50.0103
1405526319	50.009987
1405526320	50.009739
1405526321	50.009708
1405526322	50.009869
1405526323	50.01012
1405526324	50.010509
1405526325	50.011021
1405526326	50.011505
1405526327	50.011917
1405526328	50.012371
1405526329	50.012936
1405526330	50.013615
1405526331	50.014458
1405526332	50.015545
1405526333	50.016655
1405526334	50.017666
1405526335	50.018044
1405526336	50.018047
1405526337	50.017815
1405526338	50.017738
1405526340	50.017796
1405526341	50.017761
1405526342	50.01757
1405526343	50.017269
1405526344	50.017033
1405526345	50.017139
1405526346	50.017632
1405526347	50.018097
1405526348	50.018234
1405526349	50.018066
1405526350	50.017963
1405526351	50.017902
1405526352	50.017635
